2025-12-29 11:58:31.027  5110-5174  InteractionJankMonitor  com...ao.a202302010306.itemplatform  W  Initializing without READ_DEVICE_CONFIG permission. enabled=false, interval=1, missedFrameThreshold=3, frameTimeThreshold=64, package=com.wujunhao.a202302010306.itemplatform
2025-12-29 11:58:31.236  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  com.wujunhao.a202302010306.itemplatform:c6cc0bba: onShown
2025-12-29 11:58:33.811  5110-5110  AutofillManager         com...ao.a202302010306.itemplatform  I  showAutofillDialog() return false due to improve fill dialog
2025-12-29 11:58:33.812  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  com.wujunhao.a202302010306.itemplatform:15742d2c: onRequestShow at ORIGIN_CLIENT reason SHOW_SOFT_INPUT fromUser true
2025-12-29 11:58:33.813  5110-5110  InsetsController        com...ao.a202302010306.itemplatform  D  show(ime())
2025-12-29 11:58:33.814  5110-5110  ImeTracker              com...ao.a202302010306.itemplatform  I  com.wujunhao.a202302010306.itemplatform:15742d2c: onCancelled at PHASE_CLIENT_APPLY_ANIMATION
2025-12-29 11:58:33.835  5110-5110  RemoteInpu...ectionImpl com...ao.a202302010306.itemplatform  W  requestCursorUpdates on inactive InputConnection
2025-12-29 11:58:33.848  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.app.Activity$$ExternalSyntheticLambda0@372d4ce
2025-12-29 11:58:33.892  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.view.ImeBackAnimationController@c46b76f
2025-12-29 11:58:42.802  5110-5194  ApiClient               com...ao.a202302010306.itemplatform  D  Token from TokenManager: null...
2025-12-29 11:58:42.802  5110-5194  ApiClient               com...ao.a202302010306.itemplatform  D  No token found, not adding Authorization header
2025-12-29 11:58:42.802  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  --> POST http://223.6.254.237/api/auth/login
2025-12-29 11:58:42.803  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Content-Type: application/json; charset=UTF-8
2025-12-29 11:58:42.803  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Content-Length: 45
2025-12-29 11:58:42.803  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  {"password":"password123","username":"admin"}
2025-12-29 11:58:42.803  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  --> END POST (45-byte body)
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  <-- 200 OK http://223.6.254.237/api/auth/login (126ms)
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Server: nginx/1.29.4
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Date: Mon, 29 Dec 2025 03:58:42 GMT
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Content-Type: application/json; charset=utf-8
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Transfer-Encoding: chunked
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Connection: keep-alive
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Vary: Accept-Encoding
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-Powered-By: Express
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Vary: Origin
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Access-Control-Allow-Credentials: true
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Limit: 100
2025-12-29 11:58:42.930  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Remaining: 90
2025-12-29 11:58:42.931  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-RateLimit-Reset: 1766981369
2025-12-29 11:58:42.931  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  ETag: W/"148-oBhMqWKkWLOYLjJ3SdsHgse86fM"
2025-12-29 11:58:42.931  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  {"code":200,"message":"登录成功","data":{"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjQsInVzZXJuYW1lIjoiYWRtaW4iLCJpYXQiOjE3NjY5ODA3MjIsImV4cCI6MTc2NzA2NzEyMn0.yXup_CsVSe7Fs3qeGa2QMOfFA-4WMZ-KFWa2SpSZTnw","user":{"id":4,"username":"admin","email":"admin@example.com","phone":"13800000000"},"expiresIn":86400}}
2025-12-29 11:58:42.932  5110-5194  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  <-- END HTTP (328-byte body)
2025-12-29 11:58:43.071  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  开始加载用户列表
2025-12-29 11:58:43.074  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  创建API服务
2025-12-29 11:58:43.075  5110-5110  AdminActivity           com...ao.a202302010306.itemplatform  D  调用API获取用户列表
2025-12-29 11:58:43.080  5110-5198  ApiClient               com...ao.a202302010306.itemplatform  D  Token from TokenManager: eyJhbGciOiJIUzI1NiIs...
2025-12-29 11:58:43.080  5110-5198  ApiClient               com...ao.a202302010306.itemplatform  D  Adding Authorization header
2025-12-29 11:58:43.083  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  --> GET http://223.6.254.237/api/admin/users?page=1&limit=100
2025-12-29 11:58:43.085  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjQsInVzZXJuYW1lIjoiYWRtaW4iLCJpYXQiOjE3NjY5ODA3MjIsImV4cCI6MTc2NzA2NzEyMn0.yXup_CsVSe7Fs3qeGa2QMOfFA-4WMZ-KFWa2SpSZTnw
2025-12-29 11:58:43.085  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  --> END GET
2025-12-29 11:58:43.118  5110-5110  WindowOnBackDispatcher  com...ao.a202302010306.itemplatform  D  setTopOnBackInvokedCallback (unwrapped): android.app.Activity$$ExternalSyntheticLambda0@dbc1a5c
2025-12-29 11:58:43.119  5110-5110  VRI[AdminActivity]      com...ao.a202302010306.itemplatform  D  WindowInsets changed: 1080x2400 statusBars:[0,63,0,0] navigationBars:[0,0,0,63] mandatorySystemGestures:[0,63,0,84] 
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  <-- 200 OK http://223.6.254.237/api/admin/users?page=1&limit=100 (40ms)
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Server: nginx/1.29.4
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Date: Mon, 29 Dec 2025 03:58:42 GMT
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Content-Type: application/json; charset=utf-8
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Transfer-Encoding: chunked
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Connection: keep-alive
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  Vary: Accept-Encoding
2025-12-29 11:58:43.127  5110-5198  okhttp.OkHttpClient     com...ao.a202302010306.itemplatform  I  X-Powered-By: Express
